[run1, run2] | name = [year][era]-nib[N]-fib[M] | lum(/fb) |  start and end time  | runs  | number of LS
[355374, 355769]  |    2022B-nib1-fib1   |    0.09656 fb^-1  |   274342 to  285348  |   19  |  4638
[355862, 356576]  |    2022C-nib1-fib1   |      1.048 fb^-1  |   287652 to  307031  |   48  |  9742
[356578, 356947]  |    2022C-nib1-fib2   |     0.8888 fb^-1  |   307119 to  313726  |   18  |  4403
[356948, 357268]  |    2022C-nib1-fib3   |      1.136 fb^-1  |   313863 to  319414  |   22  |  4588
[357271, 357401]  |    2022C-nib1-fib4   |      1.007 fb^-1  |   319450 to  322257  |    8  |  3733
[357406, 357482]  |    2022C-nib1-fib5   |     0.9319 fb^-1  |   322727 to  326088  |   10  |  3428
[357538, 357732]  |    2022D-nib1-fib1   |      1.149 fb^-1  |   326677 to  333241  |   18  |  4397
[357734, 357802]  |    2022D-nib1-fib2   |     0.8736 fb^-1  |   333304 to  335339  |   13  |  2935
[357803, 357900]  |    2022D-nib1-fib3   |     0.9471 fb^-1  |   335405 to  337478  |   14  |  3587
[359569, 359751]  |    2022E-nib1-fib1   |       1.46 fb^-1  |   391120 to  396780  |   18  |  7099
[359762, 359903]  |    2022E-nib1-fib2   |          1 fb^-1  |   397395 to  401068  |   15  |  4334
[359998, 360019]  |    2022E-nib1-fib3   |      1.053 fb^-1  |   402738 to  403913  |    3  |  3420
[360075, 360126]  |    2022E-nib1-fib4   |     0.8194 fb^-1  |   405881 to  407221  |    5  |  2465
[360127, 360327]  |    2022E-nib1-fib5   |      1.475 fb^-1  |   407366 to  411866  |   10  |  4380
[360390, 360490]  |    2022F-nib1-fib1   |       1.46 fb^-1  |   413069 to  415918  |   16  |  4674
[360491, 360820]  |    2022F-nib1-fib2   |     0.8042 fb^-1  |   416383 to  421308  |    7  |  2313
[360825, 360921]  |    2022F-nib1-fib3   |      1.202 fb^-1  |   421698 to  424637  |   14  |  3893
[360927, 360948]  |    2022F-nib1-fib4   |      1.037 fb^-1  |   424867 to  426122  |    6  |  2882
[360950, 361045]  |    2022F-nib1-fib5   |     0.7356 fb^-1  |   426173 to  427735  |    7  |  2704
[361050, 361197]  |    2022F-nib1-fib6   |      1.234 fb^-1  |   428124 to  430318  |   14  |  4107
[361223, 361239]  |    2022F-nib1-fib7   |     0.6912 fb^-1  |   431361 to  431790  |    2  |  1751
[361240, 361297]  |    2022F-nib1-fib8   |     0.8499 fb^-1  |   432202 to  433209  |    6  |  2402
[361303, 361303]  |    2022F-nib1-fib9   |     0.7635 fb^-1  |   433803 to  433803  |    1  |  2240
[361318, 361400]  |    2022F-nib1-fib10  |     0.9985 fb^-1  |   434844 to  437360  |   10  |  2553
[361417, 361443]  |    2022F-nib1-fib11  |       1.38 fb^-1  |   438024 to  438851  |    2  |  3896
[361468, 361468]  |    2022F-nib1-fib12  |     0.6966 fb^-1  |   439895 to  439895  |    1  |  1881
[361475, 361512]  |    2022F-nib1-fib13  |      1.057 fb^-1  |   440777 to  441882  |    2  |  2768
[361569, 361957]  |    2022F-nib1-fib14  |      1.154 fb^-1  |   443397 to  454054  |    5  |  3317
[361971, 362063]  |    2022F-nib1-fib15  |      1.343 fb^-1  |   454671 to  457786  |   10  |  3702
[362064, 362091]  |    2022F-nib1-fib16  |     0.8346 fb^-1  |   457875 to  458707  |    3  |  2536
[362104, 362154]  |    2022F-nib1-fib17  |      1.071 fb^-1  |   459437 to  460504  |    7  |  2801
[362159, 362167]  |    2022F-nib1-fib18  |     0.4699 fb^-1  |   460942 to  461168  |    5  |  1169
[362437, 362616]  |    2022G-nib1-fib1   |     0.8623 fb^-1  |   467273 to  471405  |    6  |  2197
[362617, 362696]  |    2022G-nib1-fib2   |      1.255 fb^-1  |   471547 to  473932  |    8  |  3386
[362698, 362760]  |    2022G-nib1-fib3   |     0.9657 fb^-1  |   474610 to  476656  |    7  |  2659
[366727, 367079]  |    2023B-nib1-fib1   |     0.6415 fb^-1  |   693974 to  705831  |   21  |  6967
[367095, 367231]  |    2023C-nib1-fib1   |      1.013 fb^-1  |   706289 to  709908  |   17  |  5073
[367232, 367269]  |    2023C-nib1-fib2   |     0.8626 fb^-1  |   709919 to  711693  |    8  |  3116
[367270, 367337]  |    2023C-nib1-fib3   |      1.034 fb^-1  |   711708 to  713569  |    8  |  3739
[367355, 367515]  |    2023C-nib1-fib4   |      1.433 fb^-1  |   714330 to  718898  |    8  |  4372
[367516, 367619]  |    2023C-nib1-fib5   |      1.271 fb^-1  |   719148 to  721939  |    7  |  3536
[367661, 367696]  |    2023C-nib1-fib6   |     0.9516 fb^-1  |   722784 to  723751  |    7  |  2767
[367699, 367758]  |    2023C-nib1-fib7   |     0.6549 fb^-1  |   724514 to  727427  |    4  |  1787
[367770, 367836]  |  2023Cv4-nib1-fib1   |     0.5476 fb^-1  |   728079 to  730086  |    6  |  1402
[367838, 367883]  |  2023Cv4-nib1-fib2   |      1.019 fb^-1  |   730300 to  731560  |    4  |  2552
[367884, 368320]  |  2023Cv4-nib1-fib3   |      1.306 fb^-1  |   731971 to  743939  |   13  |  4387
[368321, 368400]  |  2023Cv4-nib1-fib4   |     0.8703 fb^-1  |   744051 to  746690  |    9  |  3363
[368410, 368454]  |  2023Cv4-nib1-fib5   |      1.027 fb^-1  |   747348 to  748826  |    6  |  3333
[368489, 368548]  |  2023Cv4-nib1-fib6   |      1.282 fb^-1  |   749586 to  751022  |    4  |  3934
[368566, 368609]  |  2023Cv4-nib1-fib7   |      1.015 fb^-1  |   751597 to  753148  |    3  |  2627
[368611, 368684]  |  2023Cv4-nib1-fib8   |      1.176 fb^-1  |   753549 to  756433  |   11  |  3387
[368685, 368685]  |  2023Cv4-nib1-fib9   |     0.5632 fb^-1  |   756473 to  756473  |    1  |  1481
[368723, 368764]  |  2023Cv4-nib1-fib10  |      1.091 fb^-1  |   757451 to  758881  |    7  |  2672
[368765, 368765]  |  2023Cv4-nib1-fib11  |     0.5372 fb^-1  |   758887 to  758887  |    1  |  1386
[368822, 368823]  |  2023Cv4-nib2-fib12  |     0.4075 fb^-1  |   760468 to  760838  |    2  |  978
[369927, 370144]  |    2023D-nib1-fib1   |      1.442 fb^-1  |   786986 to  791856  |   11  |  6172
[370169, 370175]  |    2023D-nib1-fib2   |      1.267 fb^-1  |   792664 to  793538  |    3  |  3323
