#Data tag : 24v2 , Norm tag: composite
+--------------+-------------------+------+------+----------------+---------------+
| run:fill     | time              | nls  | ncms | delivered(/fb) | recorded(/fb) |
| 380348:9593  | 05/03/24 20:21:15 | 341  | 341  | 0.137327300    | 0.130278728   |
| 380349:9593  | 05/03/24 22:39:04 | 695  | 695  | 0.212329213    | 0.205800031   |
| 380360:9594  | 05/04/24 06:56:16 | 1928 | 1928 | 0.683076453    | 0.657452763   |
| 380377:9602  | 05/04/24 23:50:36 | 420  | 420  | 0.180695180    | 0.170866969   |
| 380384:9603  | 05/05/24 06:57:47 | 751  | 751  | 0.329817937    | 0.312366965   |
| 380385:9603  | 05/05/24 11:54:10 | 1247 | 1247 | 0.396333027    | 0.382606988   |
| 380399:9604  | 05/05/24 23:17:17 | 494  | 494  | 0.209116489    | 0.198896580   |
| 380403:9604  | 05/06/24 03:21:24 | 251  | 251  | 0.106795284    | 0.101791084   |
| 380444:9605  | 05/06/24 15:21:13 | 321  | 321  | 0.143379682    | 0.133379245   |
| 380446:9605  | 05/06/24 17:33:05 | 1026 | 1026 | 0.411385580    | 0.394005031   |
| 380447:9605  | 05/07/24 00:20:05 | 810  | 810  | 0.209512994    | 0.204667482   |
| 380466:9606  | 05/07/24 09:21:16 | 471  | 471  | 0.204288114    | 0.189652007   |
| 380470:9606  | 05/07/24 13:06:34 | 1634 | 1634 | 0.525850047    | 0.509965008   |
| 380481:9608  | 05/08/24 05:37:58 | 860  | 860  | 0.377760528    | 0.356386218   |
| 380513:9609  | 05/08/24 20:35:34 | 1158 | 1158 | 0.490690475    | 0.466116001   |
| 380517:9609  | 05/09/24 04:20:58 | 39   | 39   | 0.013369860    | 0.012659802   |
| 380531:9610  | 05/09/24 07:02:24 | 1024 | 1023 | 0.441064759    | 0.414961366   |
| 380534:9610  | 05/09/24 13:56:20 | 746  | 746  | 0.227699084    | 0.221083889   |
| 380537:9610  | 05/09/24 19:09:12 | 58   | 58   | 0.014412417    | 0.013896266   |
| 380538:9610  | 05/09/24 19:36:56 | 144  | 144  | 0.032660103    | 0.031991431   |
| 380564:9611  | 05/09/24 23:47:54 | 742  | 742  | 0.328355748    | 0.310133432   |
| 380567:9611  | 05/10/24 04:54:24 | 1081 | 1081 | 0.343338693    | 0.333589457   |
| 380623:9614  | 05/11/24 20:40:52 | 388  | 388  | 0.165282907    | 0.155157158   |
| 380624:9614  | 05/11/24 23:16:57 | 809  | 809  | 0.332350388    | 0.316711086   |
| 380625:9614  | 05/12/24 04:34:00 | 7    | 7    | 0.002318535    | 0.002157333   |
| 380626:9614  | 05/12/24 04:39:38 | 14   | 14   | 0.004592181    | 0.004254976   |
| 380627:9614  | 05/12/24 04:48:42 | 808  | 808  | 0.220275826    | 0.215229145   |
| 380647:9618  | 05/12/24 22:28:59 | 375  | 375  | 0.165125432    | 0.149882225   |
| 380649:9618  | 05/13/24 01:56:15 | 401  | 401  | 0.170076428    | 0.160467142   |
| 380933:9651  | 05/19/24 16:19:32 | 773  | 773  | 0.012201261    | 0.012059978   |
| 380945:9653  | 05/20/24 06:39:35 | 245  | 245  | 0.101537240    | 0.095811092   |
| 380947:9653  | 05/20/24 11:38:49 | 823  | 823  | 0.267061270    | 0.259026959   |
| 380963:9654  | 05/20/24 20:42:43 | 922  | 922  | 0.376328963    | 0.358928109   |
| 381022:9659  | 05/21/24 23:53:15 | 586  | 586  | 0.216452598    | 0.204687475   |
| 381053:9661  | 05/22/24 09:14:55 | 108  | 108  | 0.034284592    | 0.032775303   |
| 381065:9662  | 05/22/24 12:16:48 | 791  | 791  | 0.354713426    | 0.332084064   |
| 381067:9662  | 05/22/24 17:33:10 | 313  | 313  | 0.125133883    | 0.120230069   |
| 381069:9662  | 05/22/24 20:20:02 | 307  | 307  | 0.099756885    | 0.094687636   |
| 381070:9662  | 05/22/24 22:21:18 | 425  | 425  | 0.117251860    | 0.114667308   |
| 381075:9663  | 05/23/24 03:44:42 | 426  | 426  | 0.185966003    | 0.175285591   |
| 381078:9663  | 05/23/24 06:53:58 | 334  | 334  | 0.145727221    | 0.136144881   |
| 381079:9663  | 05/23/24 09:06:56 | 396  | 396  | 0.140455346    | 0.133891265   |
| 381080:9663  | 05/23/24 11:44:26 | 336  | 336  | 0.099635035    | 0.095515949   |
| 381113:9664  | 05/23/24 18:23:22 | 240  | 236  | 0.096134484    | 0.089941020   |
| 381114:9664  | 05/23/24 20:11:10 | 458  | 458  | 0.212644370    | 0.198867601   |
| 381115:9664  | 05/23/24 23:12:32 | 1294 | 1294 | 0.411461293    | 0.398417741   |
| 381147:9666  | 05/24/24 11:18:29 | 186  | 186  | 0.076080230    | 0.071248390   |
| 381148:9666  | 05/24/24 12:38:03 | 264  | 264  | 0.125424898    | 0.117279641   |
| 381149:9666  | 05/24/24 14:31:15 | 133  | 133  | 0.063058159    | 0.058796660   |
| 381150:9666  | 05/24/24 15:25:36 | 42   | 41   | 0.019358629    | 0.017693463   |
| 381151:9666  | 05/24/24 15:45:18 | 851  | 851  | 0.307255104    | 0.292800679   |
| 381152:9666  | 05/24/24 21:19:14 | 193  | 193  | 0.053094738    | 0.051445539   |
| 381164:9667  | 05/25/24 00:51:30 | 1147 | 1147 | 0.520078376    | 0.486331524   |
| 381190:9670  | 05/25/24 13:16:44 | 1098 | 1098 | 0.498025520    | 0.466171640   |
| 381191:9670  | 05/25/24 20:25:58 | 1121 | 1121 | 0.338739859    | 0.328508844   |
| 381199:9672  | 05/26/24 09:25:18 | 150  | 150  | 0.057348717    | 0.053239820   |
| 381212:9674  | 05/27/24 04:02:15 | 372  | 372  | 0.168772077    | 0.158251384   |
| 381286:9677  | 05/27/24 16:09:15 | 711  | 711  | 0.329218210    | 0.304305792   |
| 381309:9680  | 05/28/24 06:47:14 | 425  | 425  | 0.194212902    | 0.182560652   |
| 381358:9683  | 05/28/24 18:58:02 | 3    | 3    | 0.000650519    | 0.000459749   |
| 381364:9684  | 05/28/24 21:34:05 | 382  | 382  | 0.168591459    | 0.157468062   |
| 381365:9684  | 05/29/24 00:22:44 | 595  | 595  | 0.275084710    | 0.257425126   |
| 381371:9686  | 05/29/24 06:46:06 | 194  | 194  | 0.079505703    | 0.075256463   |
| 381379:9687  | 05/29/24 10:50:00 | 833  | 833  | 0.377827336    | 0.352283946   |
| 381380:9687  | 05/29/24 16:17:34 | 1354 | 1354 | 0.413121484    | 0.400099172   |
| 381384:9691  | 05/30/24 05:24:04 | 3482 | 3482 | 1.060675030    | 1.016698629   |
| 381417:9694  | 05/31/24 13:50:23 | 1782 | 1782 | 0.720687643    | 0.683034444   |
| 381443:9696  | 06/01/24 12:16:15 | 1517 | 1517 | 0.628711533    | 0.594564311   |
| 381477:9700  | 06/02/24 11:50:04 | 278  | 278  | 0.118426751    | 0.111531987   |
| 381479:9700  | 06/02/24 13:58:03 | 434  | 434  | 0.207235650    | 0.194499141   |
| 381480:9700  | 06/02/24 16:48:38 | 1268 | 1268 | 0.425169565    | 0.409117042   |
| 381484:9701  | 06/03/24 03:15:04 | 820  | 820  | 0.379322634    | 0.354690392   |
| 381499:9705  | 06/03/24 16:18:24 | 196  | 195  | 0.080301987    | 0.074475063   |
| 381500:9705  | 06/03/24 17:37:39 | 92   | 92   | 0.044049660    | 0.040055477   |
