#Data tag : 24v2 , Norm tag: composite
+-------------+-------------------+------+------+----------------+---------------+
| run:fill    | time              | nls  | ncms | delivered(/fb) | recorded(/fb) |
+-------------+-------------------+------+------+----------------+---------------+
| 355374:7960 | 07/10/22 12:22:13 | 26   | 26   | 0.000170122    | 0.000107780   |
| 355381:7960 | 07/10/22 16:11:05 | 358  | 358  | 0.002587633    | 0.002136460   |
| 355418:7963 | 07/11/22 11:05:52 | 41   | 41   | 0.000238113    | 0.000230946   |
| 355419:7963 | 07/11/22 11:24:08 | 98   | 98   | 0.000488437    | 0.000476082   |
| 355429:7965 | 07/11/22 14:43:03 | 48   | 48   | 0.000369580    | 0.000335498   |
| 355435:7966 | 07/11/22 17:21:08 | 43   | 43   | 0.000340653    | 0.000231713   |
| 355442:7966 | 07/11/22 18:14:11 | 22   | 22   | 0.000182684    | 0.000133208   |
| 355443:7966 | 07/11/22 18:25:07 | 240  | 240  | 0.002011364    | 0.001924874   |
| 355444:7966 | 07/11/22 19:59:14 | 153  | 153  | 0.001278669    | 0.001227124   |
| 355445:7966 | 07/11/22 21:00:53 | 242  | 242  | 0.001560671    | 0.001511505   |
| 355454:7967 | 07/12/22 01:37:54 | 81   | 81   | 0.000531034    | 0.000514129   |
| 355455:7967 | 07/12/22 02:14:05 | 40   | 39   | 0.000258149    | 0.000246658   |
| 355456:7967 | 07/12/22 02:34:24 | 501  | 501  | 0.003096779    | 0.003064077   |
| 355558:7969 | 07/13/22 00:56:21 | 288  | 288  | 0.012239865    | 0.011556875   |
| 355559:7969 | 07/13/22 02:50:34 | 162  | 162  | 0.007077068    | 0.006743939   |
| 355679:7978 | 07/14/22 16:58:45 | 59   | 59   | 0.001150256    | 0.001108648   |
| 355680:7978 | 07/14/22 17:24:25 | 1651 | 1651 | 0.049825203    | 0.047915005   |
| 355768:8007 | 07/18/22 03:28:57 | 45   | 45   | 0.001335987    | 0.001205867   |
| 355769:8007 | 07/18/22 03:48:39 | 541  | 541  | 0.016798550    | 0.015885153   |
| 355862:8016 | 07/19/22 18:12:03 | 13   | 13   | 0.000792458    | 0.000626193   |
| 355863:8016 | 07/19/22 18:19:43 | 14   | 14   | 0.000840240    | 0.000737608   |
| 355870:8017 | 07/19/22 23:02:43 | 37   | 37   | 0.001810529    | 0.001564060   |
| 355871:8017 | 07/19/22 23:17:54 | 5    | 5    | 0.000167393    | 0.000148624   |
| 355872:8017 | 07/19/22 23:24:45 | 1197 | 1197 | 0.077862176    | 0.069670631   |
| 355892:8018 | 07/20/22 10:25:02 | 184  | 184  | 0.011272114    | 0.010783757   |
| 355912:8019 | 07/20/22 14:18:53 | 158  | 158  | 0.010012808    | 0.009000126   |
| 355913:8019 | 07/20/22 15:22:09 | 106  | 106  | 0.006321538    | 0.005841851   |
| 355921:8020 | 07/20/22 18:50:02 | 405  | 405  | 0.024593130    | 0.022803613   |
| 355933:8022 | 07/21/22 02:06:05 | 374  | 374  | 0.000716867    | 0.000709735   |
| 355942:8023 | 07/21/22 06:46:45 | 187  | 187  | 0.001449026    | 0.001366196   |
| 355988:8027 | 07/21/22 23:03:32 | 44   | 44   | 0.003434926    | 0.002782140   |
| 355989:8027 | 07/21/22 23:23:47 | 24   | 24   | 0.002277844    | 0.001268138   |
