[run1, run2] | name = [year][era]-nib[N]-fib[M] | lum(/fb) |  start and end time  | runs  | number of LS
[395650, 395729]  |    2025D-nib1-fib20  |      1.164 fb^-1  |  1897345 to 1899109  |    3  |  2697
[395730, 395749]  |    2025D-nib1-fib21  |     0.7529 fb^-1  |  1899619 to 1900183  |    4  |  1728
[395750, 395760]  |    2025D-nib1-fib22  |      1.175 fb^-1  |  1900444 to 1901149  |    4  |  2657
[395761, 395876]  |    2025D-nib1-fib23  |      1.013 fb^-1  |  1901650 to 1904517  |    8  |  2825
[395893, 395922]  |    2025D-nib1-fib24  |     0.9595 fb^-1  |  1904804 to 1906127  |    7  |  2238
[395924, 395924]  |    2025D-nib1-fib25  |      1.007 fb^-1  |  1906194 to 1906194  |    1  |  2433
[395926, 395948]  |    2025D-nib1-fib26  |      1.262 fb^-1  |  1907148 to 1908337  |    4  |  2821
[395982, 396008]  |    2025E-nib1-fib1   |      1.126 fb^-1  |  1909166 to 1910241  |    5  |  2521
[396009, 396102]  |    2025E-nib1-fib2   |      1.429 fb^-1  |  1910469 to 1913472  |    7  |  3137
[396127, 396127]  |    2025E-nib1-fib3   |     0.9319 fb^-1  |  1914252 to 1914252  |    1  |  2082
[396134, 396134]  |    2025E-nib1-fib4   |     0.7525 fb^-1  |  1915182 to 1915182  |    1  |  1610
[396135, 396158]  |    2025E-nib1-fib5   |     0.9911 fb^-1  |  1915812 to 1916521  |    7  |  2416
[396177, 396185]  |    2025E-nib1-fib6   |     0.8543 fb^-1  |  1917308 to 1917806  |    4  |  1930
[396191, 396191]  |    2025E-nib1-fib7   |     0.8217 fb^-1  |  1918189 to 1918189  |    1  |  1751
[396216, 396227]  |    2025E-nib1-fib8   |     0.9201 fb^-1  |  1919542 to 1920110  |    5  |  2045
[396228, 396282]  |    2025E-nib1-fib9   |      1.321 fb^-1  |  1920508 to 1922289  |    5  |  2885
[396283, 396283]  |    2025E-nib1-fib10  |     0.8995 fb^-1  |  1922335 to 1922335  |    1  |  2060
[396309, 396356]  |    2025E-nib1-fib11  |        1.4 fb^-1  |  1923373 to 1924568  |    7  |  3044
[396372, 396372]  |    2025E-nib1-fib12  |     0.8843 fb^-1  |  1925153 to 1925153  |    1  |  1942
[396393, 396404]  |    2025E-nib1-fib13  |     0.9237 fb^-1  |  1926063 to 1927097  |    6  |  2075
[396405, 396422]  |    2025E-nib1-fib14  |     0.8937 fb^-1  |  1927196 to 1928311  |    3  |  1893
[396733, 396805]  |    2025F-nib1-fib1   |      1.009 fb^-1  |  1937884 to 1940240  |    9  |  4384
[396819, 396850]  |    2025F-nib1-fib2   |     0.7049 fb^-1  |  1940905 to 1942258  |    8  |  1785
[396870, 396891]  |    2025F-nib1-fib3   |      1.166 fb^-1  |  1942673 to 1943592  |    4  |  2540
[396892, 396892]  |    2025F-nib1-fib4   |     0.6223 fb^-1  |  1943844 to 1943844  |    1  |  1493
[396893, 396965]  |    2025F-nib1-fib5   |     0.8858 fb^-1  |  1944426 to 1947291  |    6  |  1938
[396988, 397032]  |    2025F-nib1-fib6   |      1.152 fb^-1  |  1947630 to 1950205  |    5  |  2487
[397033, 397033]  |    2025F-nib1-fib7   |     0.8538 fb^-1  |  1950240 to 1950240  |    1  |  1845
[397049, 397098]  |    2025F-nib1-fib8   |     0.8934 fb^-1  |  1951076 to 1952312  |    6  |  1939
[397106, 397209]  |    2025F-nib1-fib9   |      1.147 fb^-1  |  1952745 to 1954545  |   10  |  2497
[397226, 397226]  |    2025F-nib1-fib10  |     0.8367 fb^-1  |  1955382 to 1955382  |    1  |  1803
[397227, 397262]  |    2025F-nib1-fib11  |      1.267 fb^-1  |  1956087 to 1957761  |   10  |  2925
[397292, 397294]  |    2025F-nib1-fib12  |     0.8435 fb^-1  |  1958344 to 1959053  |    3  |  1881
[397332, 397373]  |    2025F-nib1-fib13  |      1.084 fb^-1  |  1959446 to 1960601  |    8  |  2447
[397377, 397413]  |    2025F-nib1-fib14  |      1.418 fb^-1  |  1960641 to 1962373  |    6  |  3086
[397414, 397414]  |    2025F-nib1-fib15  |     0.8412 fb^-1  |  1962380 to 1962380  |    1  |  1842
[397432, 397490]  |    2025F-nib1-fib16  |      1.237 fb^-1  |  1963225 to 1964927  |   10  |  2636
[397491, 397492]  |    2025F-nib1-fib17  |     0.7508 fb^-1  |  1965000 to 1965229  |    2  |  1725
[397501, 397529]  |    2025F-nib1-fib18  |      0.888 fb^-1  |  1965792 to 1966830  |    6  |  1902
[397530, 397595]  |    2025F-nib1-fib19  |      1.433 fb^-1  |  1967139 to 1969100  |   10  |  3161
[397596, 397622]  |    2025F-nib1-fib20  |      1.205 fb^-1  |  1969366 to 1970687  |    5  |  2547
[397638, 397638]  |    2025F-nib1-fib21  |     0.9096 fb^-1  |  1970939 to 1970939  |    1  |  2013
[397700, 397704]  |    2025F-nib1-fib22  |      0.879 fb^-1  |  1972267 to 1972454  |    4  |  1971
[397709, 397728]  |    2025F-nib1-fib23  |      1.089 fb^-1  |  1973219 to 1974158  |    5  |  2456
[397729, 397764]  |    2025F-nib1-fib24  |     0.7646 fb^-1  |  1974335 to 1975299  |    3  |  1636
[397768, 397779]  |    2025F-nib1-fib25  |      1.155 fb^-1  |  1975440 to 1976253  |    5  |  2524
[397780, 397794]  |    2025F-nib1-fib26  |      1.149 fb^-1  |  1976642 to 1977375  |    5  |  2654
[397796, 397817]  |    2025F-nib1-fib27  |     0.7019 fb^-1  |  1977842 to 1978180  |    5  |  1538
[398011, 398027]  |    2025G-nib1-fib1   |      1.244 fb^-1  |  1984246 to 1984732  |    7  |  2973
[398039, 398088]  |    2025G-nib1-fib2   |      1.142 fb^-1  |  1986094 to 1988043  |   13  |  2721
[398104, 398104]  |    2025G-nib1-fib3   |      0.989 fb^-1  |  1988433 to 1988433  |    1  |  2164
[398121, 398183]  |    2025G-nib1-fib4   |     0.9388 fb^-1  |  1989403 to 1991160  |   10  |  2197
[398185, 398208]  |    2025G-nib1-fib5   |      1.101 fb^-1  |  1991634 to 1993145  |    7  |  2511
[398227, 398227]  |    2025G-nib1-fib6   |     0.6359 fb^-1  |  1993532 to 1993532  |    1  |  1390
