[run1, run2] | name = [year][era]-nib[N]-fib[M] | lum(/fb) |  start and end time  | runs  | number of LS
[381067, 381079]  |  2024Ev1-nib1-fib2   |     0.7749 fb^-1  |  1256733 to 1257666  |    6  |  2201
[381080, 381115]  |  2024Ev1-nib1-fib3   |     0.7827 fb^-1  |  1257824 to 1258512  |    4  |  2324
[381147, 381164]  |  2024Ev1-nib1-fib4   |      1.096 fb^-1  |  1259238 to 1260051  |    7  |  2815
[381190, 381191]  |  2024Ev1-nib1-fib5   |     0.7947 fb^-1  |  1260796 to 1261225  |    2  |  2219
[381199, 381371]  |  2024Ev1-nib1-fib6   |      1.189 fb^-1  |  1262005 to 1266166  |    8  |  2832
[381379, 381380]  |  2024Ev1-nib1-fib7   |     0.7524 fb^-1  |  1266410 to 1266737  |    2  |  2187
[381384, 381384]  |  2024Ev2-nib1-fib1   |      1.017 fb^-1  |  1267524 to 1267524  |    1  |  3482
[381417, 381443]  |  2024Ev2-nib1-fib2   |      1.278 fb^-1  |  1269470 to 1270816  |    2  |  3299
[381477, 381515]  |  2024Ev2-nib1-fib3   |      1.401 fb^-1  |  1272230 to 1274281  |    7  |  3601
[381516, 381544]  |  2024Ev2-nib1-fib4   |       1.41 fb^-1  |  1274482 to 1275492  |    3  |  4149
[382229, 382262]  |    2024F-nib1-fib1   |     0.8975 fb^-1  |  1298019 to 1299751  |    7  |  2837
[382298, 382329]  |    2024F-nib2-fib2   |      1.159 fb^-1  |  1300059 to 1301716  |    7  |  2970
[382343, 382343]  |    2024F-nib2-fib3   |     0.9454 fb^-1  |  1302541 to 1302541  |    1  |  2208
[382344, 382580]  |    2024F-nib2-fib4   |      1.142 fb^-1  |  1303402 to 1310863  |    4  |  2821
[382594, 382594]  |    2024F-nib2-fib5   |     0.6027 fb^-1  |  1311989 to 1311989  |    1  |  1406
[382595, 382650]  |    2024F-nib2-fib6   |      1.019 fb^-1  |  1312537 to 1314347  |    5  |  2630
[382654, 382684]  |    2024F-nib2-fib7   |      1.459 fb^-1  |  1314594 to 1316211  |    5  |  3561
[382685, 382752]  |    2024F-nib2-fib8   |     0.9725 fb^-1  |  1316666 to 1318508  |    7  |  2338
[382769, 382769]  |    2024F-nib2-fib9   |     0.6396 fb^-1  |  1319059 to 1319059  |    1  |  1522
[382770, 382830]  |    2024F-nib2-fib10  |     0.9354 fb^-1  |  1319659 to 1321916  |    9  |  2409
[382834, 382878]  |    2024F-nib2-fib11  |     0.8954 fb^-1  |  1322163 to 1323174  |    3  |  2026
[382913, 382921]  |    2024F-nib2-fib12  |       1.38 fb^-1  |  1324241 to 1325304  |    2  |  3472
[382922, 383153]  |    2024F-nib2-fib13  |      1.038 fb^-1  |  1325804 to 1331190  |   10  |  3014
[383155, 383162]  |    2024F-nib2-fib14  |      1.399 fb^-1  |  1331278 to 1332223  |    2  |  3377
[383163, 383175]  |    2024F-nib2-fib15  |     0.9811 fb^-1  |  1332829 to 1333955  |    4  |  2622
[383247, 383277]  |    2024F-nib3-fib16  |      1.403 fb^-1  |  1334872 to 1336300  |    6  |  3390
[383323, 383367]  |    2024F-nib3-fib17  |       1.17 fb^-1  |  1337135 to 1338684  |    6  |  2765
[383368, 383417]  |    2024F-nib3-fib18  |     0.8126 fb^-1  |  1338796 to 1340705  |    3  |  2095
[383418, 383467]  |    2024F-nib3-fib19  |      1.289 fb^-1  |  1341011 to 1342890  |    5  |  3281
[383468, 383468]  |    2024F-nib3-fib20  |     0.8122 fb^-1  |  1342961 to 1342961  |    1  |  2148
[383485, 383487]  |    2024F-nib3-fib21  |     0.8745 fb^-1  |  1344025 to 1344107  |    3  |  2233
[383496, 383512]  |    2024F-nib3-fib22  |     0.8185 fb^-1  |  1345132 to 1345366  |    2  |  1936
[383514, 383631]  |    2024F-nib3-fib23  |      1.127 fb^-1  |  1346113 to 1348076  |    7  |  2841
[383647, 383687]  |    2024F-nib3-fib24  |     0.9199 fb^-1  |  1348863 to 1350006  |    8  |  2115
[383692, 383712]  |    2024F-nib3-fib25  |      1.393 fb^-1  |  1350320 to 1351234  |    5  |  3335
[383724, 383758]  |    2024F-nib3-fib26  |      1.218 fb^-1  |  1351909 to 1353470  |    5  |  2832
[383767, 383779]  |    2024F-nib3-fib27  |     0.7357 fb^-1  |  1353629 to 1354256  |    2  |  1776
[383811, 383814]  |    2024G-nib1-fib1   |     0.7258 fb^-1  |  1354612 to 1354812  |    4  |  1727
[383830, 383854]  |    2024G-nib1-fib2   |      0.981 fb^-1  |  1355521 to 1356272  |    5  |  2228
[383855, 383949]  |    2024G-nib1-fib3   |      1.369 fb^-1  |  1356697 to 1359557  |    6  |  3352
[383996, 383996]  |    2024G-nib1-fib4   |     0.8697 fb^-1  |  1360225 to 1360225  |    1  |  2192
[384014, 384052]  |    2024G-nib1-fib5   |      1.194 fb^-1  |  1361269 to 1362326  |    3  |  2958
[384069, 384127]  |    2024G-nib1-fib6   |     0.7937 fb^-1  |  1363275 to 1364870  |    5  |  2002
[384128, 384188]  |    2024G-nib1-fib7   |     0.9538 fb^-1  |  1364880 to 1366524  |    3  |  2252
[384202, 384202]  |    2024G-nib1-fib8   |     0.7415 fb^-1  |  1367298 to 1367298  |    1  |  1760
[384203, 384239]  |    2024G-nib1-fib9   |      1.157 fb^-1  |  1367985 to 1369245  |    5  |  2820
[384244, 384291]  |    2024G-nib1-fib10  |      1.372 fb^-1  |  1369826 to 1372173  |    5  |  3264
[384318, 384331]  |    2024G-nib1-fib11  |     0.7548 fb^-1  |  1373075 to 1373998  |    4  |  1752
[384332, 384406]  |    2024G-nib1-fib12  |      1.193 fb^-1  |  1374229 to 1376060  |    7  |  2876
[384413, 384413]  |    2024G-nib1-fib13  |     0.7974 fb^-1  |  1376426 to 1376426  |    1  |  1950
[384446, 384468]  |    2024G-nib1-fib14  |     0.9848 fb^-1  |  1377368 to 1378058  |    3  |  2404
[384485, 384565]  |    2024G-nib1-fib15  |      1.481 fb^-1  |  1378965 to 1380809  |    8  |  3571
[384579, 384614]  |    2024G-nib1-fib16  |      1.042 fb^-1  |  1381636 to 1382744  |    5  |  2492
[384638, 384644]  |    2024G-nib1-fib17  |     0.6502 fb^-1  |  1383439 to 1383685  |    2  |  1578
[384933, 384951]  |    2024G-nib2-fib18  |      1.284 fb^-1  |  1390757 to 1391711  |    5  |  3091
[384963, 384963]  |    2024G-nib2-fib19  |     0.8725 fb^-1  |  1392320 to 1392320  |    1  |  2106
[384981, 384981]  |    2024G-nib2-fib20  |     0.8701 fb^-1  |  1393350 to 1393350  |    1  |  2101
[385012, 385100]  |    2024G-nib2-fib21  |     0.8693 fb^-1  |  1394789 to 1398612  |    4  |  2016
[385127, 385127]  |    2024G-nib2-fib22  |     0.8333 fb^-1  |  1398921 to 1398921  |    1  |  2039
[385134, 385142]  |    2024G-nib2-fib23  |     0.9198 fb^-1  |  1399846 to 1400148  |    2  |  2240
[385152, 385153]  |    2024G-nib2-fib24  |     0.8169 fb^-1  |  1401143 to 1401599  |    2  |  2012
[385168, 385168]  |    2024G-nib2-fib25  |     0.8454 fb^-1  |  1402184 to 1402184  |    1  |  2056
[385178, 385194]  |    2024G-nib2-fib26  |      0.821 fb^-1  |  1403125 to 1403658  |    2  |  1905
[385260, 385281]  |    2024G-nib2-fib27  |     0.8324 fb^-1  |  1406018 to 1406550  |    2  |  1928
[385284, 385324]  |    2024G-nib2-fib28  |      1.457 fb^-1  |  1407124 to 1408576  |    6  |  4241
[385354, 385387]  |    2024G-nib2-fib29  |      1.048 fb^-1  |  1409732 to 1410823  |    5  |  2481
[385390, 385390]  |    2024G-nib2-fib30  |     0.7059 fb^-1  |  1411093 to 1411093  |    1  |  1646
[385391, 385422]  |    2024G-nib2-fib31  |      1.045 fb^-1  |  1411738 to 1412888  |    4  |  2569
[385423, 385443]  |    2024G-nib2-fib32  |      1.386 fb^-1  |  1413326 to 1414311  |    4  |  3366
[385444, 385514]  |    2024G-nib2-fib33  |      0.819 fb^-1  |  1414931 to 1416314  |   12  |  2015
[385515, 385592]  |    2024G-nib2-fib34  |     0.9989 fb^-1  |  1416330 to 1418406  |    6  |  2439
[385604, 385619]  |    2024G-nib2-fib35  |     0.7872 fb^-1  |  1418504 to 1419403  |    4  |  1990
[385620, 385620]  |    2024G-nib2-fib36  |     0.7359 fb^-1  |  1419444 to 1419444  |    1  |  1782
[385697, 385728]  |    2024G-nib2-fib37  |      1.195 fb^-1  |  1420826 to 1421959  |    5  |  2741
[385738, 385754]  |    2024G-nib2-fib38  |     0.9206 fb^-1  |  1422612 to 1423563  |    3  |  2230
[385764, 385801]  |    2024G-nib2-fib39  |     0.9452 fb^-1  |  1423722 to 1424748  |    3  |  2326
[385836, 385842]  |    2024H-nib1-fib1   |     0.8349 fb^-1  |  1425249 to 1425385  |    2  |  2090
[385863, 385889]  |    2024H-nib1-fib2   |     0.7856 fb^-1  |  1426290 to 1426743  |    5  |  1928
[385908, 385934]  |    2024H-nib1-fib3   |      1.254 fb^-1  |  1427513 to 1428329  |    4  |  2883
[385986, 386010]  |    2024H-nib1-fib4   |      1.258 fb^-1  |  1429832 to 1430919  |    4  |  2963
[386025, 386319]  |    2024H-nib1-fib5   |      1.356 fb^-1  |  1431566 to 1439546  |    6  |  3208
